Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,43,5,Some Random Commen with Id 0
1,0,1,13,0,Some Random Commen with Id 1
2,0,1,136,3,Some Random Commen with Id 2
3,0,1,47,9,Some Random Commen with Id 3
4,0,1,92,1,Some Random Commen with Id 4
5,0,1,183,7,Some Random Commen with Id 5
6,0,1,125,7,Some Random Commen with Id 6
7,0,1,66,6,Some Random Commen with Id 7
8,0,1,47,6,Some Random Commen with Id 8
9,1,0,171,8,Some Random Commen with Id 9
10,1,0,94,0,Some Random Commen with Id 10
11,2,2,138,7,Some Random Commen with Id 11
12,2,2,34,8,Some Random Commen with Id 12
13,2,2,123,8,Some Random Commen with Id 13
14,2,2,136,6,Some Random Commen with Id 14
15,2,2,155,8,Some Random Commen with Id 15
16,2,2,96,2,Some Random Commen with Id 16
17,2,2,19,0,Some Random Commen with Id 17
18,2,2,142,7,Some Random Commen with Id 18
19,2,2,134,8,Some Random Commen with Id 19
20,3,9,19,0,Some Random Commen with Id 20
21,3,9,166,0,Some Random Commen with Id 21
22,3,9,104,2,Some Random Commen with Id 22
23,3,9,95,3,Some Random Commen with Id 23
24,3,9,49,7,Some Random Commen with Id 24
25,4,5,96,6,Some Random Commen with Id 25
26,4,5,155,5,Some Random Commen with Id 26
27,4,5,63,0,Some Random Commen with Id 27
28,4,5,90,0,Some Random Commen with Id 28
29,4,5,129,0,Some Random Commen with Id 29
30,4,5,121,4,Some Random Commen with Id 30
31,4,5,118,9,Some Random Commen with Id 31
32,4,5,150,6,Some Random Commen with Id 32
33,5,9,96,1,Some Random Commen with Id 33
34,5,9,52,4,Some Random Commen with Id 34
35,5,9,108,9,Some Random Commen with Id 35
36,5,9,2,2,Some Random Commen with Id 36
37,5,9,23,5,Some Random Commen with Id 37
38,5,9,190,8,Some Random Commen with Id 38
39,5,9,78,1,Some Random Commen with Id 39
40,5,9,193,6,Some Random Commen with Id 40
41,6,5,149,5,Some Random Commen with Id 41
42,6,5,22,4,Some Random Commen with Id 42
43,6,5,121,1,Some Random Commen with Id 43
44,6,5,97,5,Some Random Commen with Id 44
45,7,7,185,9,Some Random Commen with Id 45
46,7,7,56,4,Some Random Commen with Id 46
47,8,8,161,5,Some Random Commen with Id 47
48,8,8,119,3,Some Random Commen with Id 48
49,8,8,162,6,Some Random Commen with Id 49
50,8,8,160,1,Some Random Commen with Id 50
51,8,8,160,3,Some Random Commen with Id 51
52,8,8,120,0,Some Random Commen with Id 52
53,8,8,167,8,Some Random Commen with Id 53
54,8,8,104,4,Some Random Commen with Id 54
55,8,8,107,7,Some Random Commen with Id 55
56,9,3,113,7,Some Random Commen with Id 56
57,9,3,155,0,Some Random Commen with Id 57
58,10,1,59,1,Some Random Commen with Id 58
59,10,1,35,0,Some Random Commen with Id 59
60,10,1,183,6,Some Random Commen with Id 60
61,10,1,111,7,Some Random Commen with Id 61
62,10,1,129,8,Some Random Commen with Id 62
63,11,0,77,2,Some Random Commen with Id 63
64,11,0,172,0,Some Random Commen with Id 64
65,11,0,138,5,Some Random Commen with Id 65
66,13,7,10,5,Some Random Commen with Id 66
67,13,7,99,3,Some Random Commen with Id 67
68,13,7,147,8,Some Random Commen with Id 68
69,13,7,100,2,Some Random Commen with Id 69
70,13,7,109,5,Some Random Commen with Id 70
71,13,7,79,6,Some Random Commen with Id 71
72,13,7,18,9,Some Random Commen with Id 72
73,13,7,192,5,Some Random Commen with Id 73
74,13,7,65,3,Some Random Commen with Id 74
75,14,9,0,0,Some Random Commen with Id 75
76,14,9,178,9,Some Random Commen with Id 76
77,14,9,45,4,Some Random Commen with Id 77
78,14,9,74,7,Some Random Commen with Id 78
79,14,9,54,6,Some Random Commen with Id 79
80,14,9,139,3,Some Random Commen with Id 80
81,14,9,97,1,Some Random Commen with Id 81
82,15,6,61,9,Some Random Commen with Id 82
83,15,6,15,6,Some Random Commen with Id 83
84,15,6,199,0,Some Random Commen with Id 84
85,15,6,43,2,Some Random Commen with Id 85
86,15,6,129,8,Some Random Commen with Id 86
87,16,4,148,0,Some Random Commen with Id 87
88,16,4,172,6,Some Random Commen with Id 88
89,17,1,155,0,Some Random Commen with Id 89
90,17,1,72,5,Some Random Commen with Id 90
91,17,1,194,9,Some Random Commen with Id 91
92,17,1,182,7,Some Random Commen with Id 92
93,18,4,105,9,Some Random Commen with Id 93
94,18,4,151,0,Some Random Commen with Id 94
95,18,4,154,0,Some Random Commen with Id 95
96,18,4,176,3,Some Random Commen with Id 96
97,19,4,49,3,Some Random Commen with Id 97
